Math,Biology,English,Likes,Hobby,Career
85,40,75,Technology,Coding,Engineer
45,85,80,Medical,Reading,Doctor
70,60,70,Arts,Drawing,Designer
90,35,90,Technology,Gaming,Engineer
55,90,60,Medical,Reading,Doctor
40,95,85,Medical,Writing,Doctor
80,50,65,Technology,Robotics,Engineer
60,75,72,Arts,Singing,Artist
75,55,78,Technology,Gaming,Engineer
30,80,82,Medical,Dancing,Doctor
95,30,88,Technology,AI,Engineer
50,88,58,Medical,Writing,Doctor
65,60,67,Arts,Sketching,Artist
88,45,91,Technology,ML,Engineer
35,70,74,Arts,Painting,Artist
